,Stkcd,Trddt,SpecificVar
13484,990,2016-11-01,0.0038318985176842377
13485,990,2016-12-01,0.0036506298633843183
13497,993,2014-03-01,0.00418556073460163
13498,993,2014-04-01,0.0033484083458578066
13499,993,2014-05-01,0.0018633299257318642
13500,993,2014-06-01,0.0018575065310592453
13501,993,2014-07-01,0.001594769633396527
13502,993,2014-08-01,0.0026240868894917223
13503,993,2014-09-01,0.0026140414626926872
13504,993,2014-10-01,0.003778615545114092
13505,993,2014-11-01,0.004039954891602647
13506,993,2014-12-01,0.007200121334920987
13507,993,2015-01-01,0.007035812876103834
13508,993,2015-02-01,0.006664153020572358
13509,993,2015-03-01,0.006611743651568362
13510,993,2015-04-01,0.0063228589223371075
13511,993,2015-05-01,0.006089880947695879
13512,993,2015-06-01,0.006838147478625177
13513,993,2015-07-01,0.0069933708304663715
13514,993,2015-08-01,0.009847973297434719
13515,993,2015-09-01,0.010009429934983868
13516,993,2015-10-01,0.008738168990776457
13517,993,2015-11-01,0.007665621060352673
13518,993,2015-12-01,0.00638056942787909
13519,993,2016-01-01,0.006047328071464488
13520,993,2016-02-01,0.007161806084327274
13521,993,2016-03-01,0.006890256594634422
13522,993,2016-04-01,0.0065697704086502785
13523,993,2016-05-01,0.007025270986201972
13524,993,2016-06-01,0.006027599089800152
13525,993,2016-07-01,0.004990850225077551
13526,993,2016-08-01,0.0035179641226612407
13527,993,2016-09-01,0.0028801943317638547
13528,993,2016-10-01,0.0030509742422881966
13529,993,2016-11-01,0.0025969930158548497
13541,996,2014-08-01,0.027868702513015337
13542,996,2014-09-01,0.0021987266357125926
